Model,R² Mean,R² Std,R² CI Lower,R² CI Upper,RMSE Mean,RMSE Std,MAE Mean,MAE Std,N Splits
XGBoost,0.8175756615596279,0.09761079287548165,0.6963758542100177,0.9387754689092381,0.37240929743428497,0.08248526140242081,0.24540291018617025,0.06353463985683915,5
RandomForest,0.806330417220863,0.09353237824231853,0.6901946304909987,0.9224662039507272,0.3918969638760728,0.11027622541154514,0.25447711305944865,0.08334668342275796,5
