,rainfall_mm,ndvi,temp_mean_c,oni,iod,humidity_pct
count,288.0,287.0,288.0,288.0,288.0,288.0
mean,84.46118055555556,0.49726306620209065,22.82152445388689,-0.06791666666666668,0.042444444444444444,64.73706326722152
std,71.83687243407904,0.09613987458007123,1.7758822484821233,0.8193273990045624,0.3020535009900025,12.23342484520489
min,3.72,0.3284,18.057096774193543,-1.66,-0.758,43.80677419354839
25%,12.0275,0.40335,21.70428225806452,-0.66,-0.14275,53.82208333333333
50%,69.485,0.509,22.686881720430108,-0.165,0.018000000000000002,64.13693548387097
75%,145.14249999999998,0.58795,24.058209677419356,0.45,0.22325,75.54191129032259
max,278.04,0.6486,26.740645161290324,2.64,0.964,88.36266666666667
