target,season,n_samples,r2_score,rmse,mae,mape
rainfall,Short Rains,3,0.7578667843609936,0.4846796771145845,0.4841269036461721,48.81427740112994
rainfall,Long Rains,3,0.7118111621424221,0.44630832310516455,0.3754463788692067,37.84606282247585
rainfall,Dry Season,5,0.2994254745843562,0.3599132120829249,0.33796906441914937,279.40713803807637
