date,location,trigger_type,activated,confidence,severity
2023-12-01,Arusha,Any Climate,Yes,0.00%,0.76275
2023-12-01,Dar es Salaam,Climate Flood,Yes,75.00%,0.76275
2023-12-01,Dar es Salaam,Any Climate,Yes,0.00%,0.76275
2023-12-01,Dodoma,Climate Flood,Yes,75.00%,0.76275
2023-12-01,Dodoma,Any Climate,Yes,0.00%,0.76275
2023-12-01,Mbeya,Flood,Yes,43.75%,0.76275
2023-12-01,Mbeya,Any,Yes,0.00%,0.76275
2023-12-01,Mbeya,Climate Flood,Yes,75.00%,0.76275
2023-12-01,Mbeya,Any Climate,Yes,0.00%,0.76275
2023-12-01,Morogoro,Climate Flood,Yes,75.00%,0.76275
2023-12-01,Morogoro,Any Climate,Yes,0.00%,0.76275
2023-12-01,Mwanza,Flood,Yes,62.50%,0.76275
2023-12-01,Mwanza,Any,Yes,0.00%,0.76275
2023-12-01,Mwanza,Climate Flood,Yes,75.00%,0.76275
2023-12-01,Mwanza,Any Climate,Yes,0.00%,0.76275
2024-01-01,Arusha,Climate Flood,Yes,75.00%,0.74725
2024-01-01,Arusha,Any Climate,Yes,0.00%,0.74725
2024-01-01,Dar es Salaam,Flood,Yes,62.50%,0.74725
2024-01-01,Dar es Salaam,Any,Yes,0.00%,0.74725
2024-01-01,Dar es Salaam,Climate Flood,Yes,75.00%,0.74725
2024-01-01,Dar es Salaam,Any Climate,Yes,0.00%,0.74725
2024-01-01,Dodoma,Flood,Yes,43.75%,0.74725
2024-01-01,Dodoma,Any,Yes,0.00%,0.74725
2024-01-01,Dodoma,Climate Flood,Yes,75.00%,0.74725
2024-01-01,Dodoma,Any Climate,Yes,0.00%,0.74725
2024-01-01,Mbeya,Climate Flood,Yes,75.00%,0.74725
2024-01-01,Mbeya,Any Climate,Yes,0.00%,0.74725
2024-01-01,Morogoro,Flood,Yes,62.50%,0.74725
2024-01-01,Morogoro,Any,Yes,0.00%,0.74725
2024-01-01,Morogoro,Climate Flood,Yes,75.00%,0.74725
2024-01-01,Morogoro,Any Climate,Yes,0.00%,0.74725
2024-01-01,Mwanza,Climate Flood,Yes,75.00%,0.74725
2024-01-01,Mwanza,Any Climate,Yes,0.00%,0.74725
2024-02-01,Dar es Salaam,Flood,Yes,43.75%,0.418
2024-02-01,Dar es Salaam,Any,Yes,0.00%,0.418
2024-02-01,Mbeya,Flood,Yes,62.50%,0.418
2024-02-01,Mbeya,Any,Yes,0.00%,0.418
2024-03-01,Dar es Salaam,Flood,Yes,43.75%,0.4132499999999999
2024-03-01,Dar es Salaam,Any,Yes,0.00%,0.4132499999999999
2024-03-01,Mbeya,Flood,Yes,43.75%,0.4132499999999999
2024-03-01,Mbeya,Any,Yes,0.00%,0.4132499999999999
2024-04-01,Arusha,Flood,Yes,62.50%,0.372
2024-04-01,Arusha,Any,Yes,0.00%,0.372
2024-04-01,Dar es Salaam,Flood,Yes,62.50%,0.372
2024-04-01,Dar es Salaam,Any,Yes,0.00%,0.372
2024-04-01,Dar es Salaam,Crop Failure,Yes,15.00%,0.372
2024-04-01,Dar es Salaam,Moderate Stress,Yes,0.00%,0.372
2024-04-01,Dar es Salaam,Severe Stress,Yes,0.00%,0.372
2024-04-01,Mbeya,Flood,Yes,43.75%,0.372
2024-04-01,Mbeya,Any,Yes,0.00%,0.372
2024-04-01,Morogoro,Flood,Yes,43.75%,0.372
2024-04-01,Morogoro,Any,Yes,0.00%,0.372
2024-04-01,Mwanza,Flood,Yes,43.75%,0.372
2024-04-01,Mwanza,Any,Yes,0.00%,0.372
2024-05-01,Arusha,Flood,Yes,43.75%,0.19225
2024-05-01,Arusha,Any,Yes,0.00%,0.19225
2024-05-01,Dar es Salaam,Flood,Yes,43.75%,0.19225
2024-05-01,Dar es Salaam,Any,Yes,0.00%,0.19225
2024-05-01,Dar es Salaam,Days Since,Yes,0.00%,0.19225
2024-05-01,Mbeya,Flood,Yes,43.75%,0.19225
2024-05-01,Mbeya,Any,Yes,0.00%,0.19225
2024-05-01,Morogoro,Flood,Yes,43.75%,0.19225
2024-05-01,Morogoro,Any,Yes,0.00%,0.19225
2024-06-01,Dar es Salaam,Flood,Yes,43.75%,0.15925
2024-06-01,Dar es Salaam,Any,Yes,0.00%,0.15925
2024-06-01,Mbeya,Flood,Yes,43.75%,0.15925
2024-06-01,Mbeya,Any,Yes,0.00%,0.15925
2025-02-01,Arusha,Trigger Severity Left,Yes,0.00%,0.1159999999999999
2025-02-01,Mbeya,Trigger Severity Left,Yes,0.00%,0.1159999999999999
2025-02-01,Morogoro,Trigger Severity Left,Yes,0.00%,0.1159999999999999
2025-02-01,Mwanza,Trigger Severity Left,Yes,0.00%,0.1159999999999999
2025-04-01,Arusha,Flood,Yes,43.75%,0.15725
2025-04-01,Arusha,Any,Yes,0.00%,0.15725
2025-04-01,Dar es Salaam,Flood,Yes,43.75%,0.15725
2025-04-01,Dar es Salaam,Any,Yes,0.00%,0.15725
2025-05-01,Dar es Salaam,Flood,Yes,43.75%,0.19725
2025-05-01,Dar es Salaam,Any,Yes,0.00%,0.19725
2025-09-01,Mbeya,Trigger Severity Left,Yes,0.00%,0.288
2025-11-01,Arusha,Trigger Severity Left,Yes,0.00%,
2025-12-01,Arusha,Crop Failure,Yes,0.00%,
2025-12-01,Arusha,Severe Stress,Yes,0.00%,
2025-12-01,Dodoma,Crop Failure,Yes,15.00%,
2025-12-01,Dodoma,Severe Stress,Yes,0.00%,
