date,year,triggered_events,estimated_payout_usd,payout_tier,trigger_type
2001-06-01,2001,drought,60,standard,drought
2001-06-01,2001,drought,60,standard,drought
2001-06-01,2001,drought,60,standard,drought
2001-06-01,2001,drought,60,standard,drought
2001-06-01,2001,drought,60,standard,drought
2001-07-01,2001,drought,60,standard,drought
2001-07-01,2001,drought,60,standard,drought
2001-07-01,2001,drought,60,standard,drought
2001-07-01,2001,drought,60,standard,drought
2001-07-01,2001,drought,60,standard,drought
2001-07-01,2001,drought,60,standard,drought
2001-08-01,2001,drought,60,standard,drought
2001-08-01,2001,drought,60,standard,drought
2001-08-01,2001,drought,60,standard,drought
2001-08-01,2001,drought,60,standard,drought
2001-08-01,2001,drought,60,standard,drought
2001-08-01,2001,drought,60,standard,drought
2001-09-01,2001,drought,60,standard,drought
2001-09-01,2001,drought,60,standard,drought
2001-09-01,2001,drought,60,standard,drought
2001-09-01,2001,drought,60,standard,drought
2001-09-01,2001,drought,60,standard,drought
2001-09-01,2001,drought,60,standard,drought
2001-10-01,2001,drought,60,standard,drought
2001-10-01,2001,drought,60,standard,drought
2001-10-01,2001,drought,60,standard,drought
2001-10-01,2001,drought,60,standard,drought
2001-10-01,2001,drought,60,standard,drought
2001-10-01,2001,drought,60,standard,drought
2001-11-01,2001,drought,60,standard,drought
2001-11-01,2001,drought,60,standard,drought
2001-11-01,2001,drought,60,standard,drought
2001-11-01,2001,drought,60,standard,drought
2001-11-01,2001,drought,60,standard,drought
2001-11-01,2001,drought,60,standard,drought
2001-12-01,2001,drought,60,standard,drought
2001-12-01,2001,drought,60,standard,drought
2001-12-01,2001,crop_failure,90,standard,crop_failure
2001-12-01,2001,drought,60,standard,drought
2001-12-01,2001,drought,60,standard,drought
2001-12-01,2001,drought,60,standard,drought
2001-12-01,2001,drought,60,standard,drought
2002-01-01,2002,drought,60,standard,drought
2002-01-01,2002,drought,60,standard,drought
2002-01-01,2002,flood,75,standard,flood
2002-01-01,2002,drought,60,standard,drought
2002-01-01,2002,drought,60,standard,drought
2002-02-01,2002,drought,60,standard,drought
2002-02-01,2002,drought,60,standard,drought
2002-03-01,2002,flood,75,standard,flood
2002-03-01,2002,crop_failure,90,standard,crop_failure
2002-03-01,2002,severe_stress,45,standard,severe_stress
2002-04-01,2002,flood,75,standard,flood
2002-04-01,2002,flood,75,standard,flood
2002-05-01,2002,flood,75,standard,flood
2002-06-01,2002,flood,75,standard,flood
2003-03-01,2003,crop_failure,90,standard,crop_failure
2003-05-01,2003,crop_failure,90,standard,crop_failure
2003-05-01,2003,severe_stress,45,standard,severe_stress
2003-09-01,2003,drought,60,standard,drought
2003-10-01,2003,drought,60,standard,drought
2003-10-01,2003,drought,60,standard,drought
2003-11-01,2003,drought,60,standard,drought
2003-11-01,2003,drought,60,standard,drought
2003-11-01,2003,drought,60,standard,drought
2003-12-01,2003,crop_failure,90,standard,crop_failure
2003-12-01,2003,severe_stress,45,standard,severe_stress
2003-12-01,2003,drought,60,standard,drought
2003-12-01,2003,drought,60,standard,drought
2003-12-01,2003,crop_failure,90,standard,crop_failure
2003-12-01,2003,severe_stress,45,standard,severe_stress
2004-04-01,2004,flood,75,standard,flood
2004-08-01,2004,crop_failure,90,standard,crop_failure
2004-08-01,2004,severe_stress,45,standard,severe_stress
2004-08-01,2004,drought,60,standard,drought
2004-09-01,2004,drought,60,standard,drought
2004-10-01,2004,drought,60,standard,drought
2004-10-01,2004,drought,60,standard,drought
2004-10-01,2004,drought,60,standard,drought
2004-10-01,2004,drought,60,standard,drought
2004-11-01,2004,drought,60,standard,drought
2004-11-01,2004,drought,60,standard,drought
2004-11-01,2004,drought,60,standard,drought
2004-11-01,2004,drought,60,standard,drought
2004-11-01,2004,drought,60,standard,drought
2004-12-01,2004,flood,75,standard,flood
2005-01-01,2005,flood,75,standard,flood
2005-03-01,2005,flood,75,standard,flood
2005-04-01,2005,flood,75,standard,flood
2005-05-01,2005,crop_failure,90,standard,crop_failure
2005-05-01,2005,flood,75,standard,flood
2005-05-01,2005,flood,75,standard,flood
2005-08-01,2005,crop_failure,90,standard,crop_failure
2005-09-01,2005,drought,60,standard,drought
2005-09-01,2005,crop_failure,90,standard,crop_failure
2005-09-01,2005,drought,60,standard,drought
2005-10-01,2005,drought,60,standard,drought
2005-10-01,2005,crop_failure,90,standard,crop_failure
2005-10-01,2005,severe_stress,45,standard,severe_stress
2005-10-01,2005,drought,60,standard,drought
2005-11-01,2005,drought,60,standard,drought
2005-11-01,2005,drought,60,standard,drought
2005-11-01,2005,drought,60,standard,drought
2005-11-01,2005,crop_failure,90,standard,crop_failure
2005-11-01,2005,severe_stress,45,standard,severe_stress
2005-12-01,2005,drought,60,standard,drought
2005-12-01,2005,crop_failure,90,standard,crop_failure
2005-12-01,2005,severe_stress,45,standard,severe_stress
2005-12-01,2005,crop_failure,90,standard,crop_failure
2005-12-01,2005,severe_stress,45,standard,severe_stress
2005-12-01,2005,drought,60,standard,drought
2005-12-01,2005,drought,60,standard,drought
2005-12-01,2005,crop_failure,90,standard,crop_failure
2005-12-01,2005,severe_stress,45,standard,severe_stress
2006-01-01,2006,drought,60,standard,drought
2006-01-01,2006,crop_failure,90,standard,crop_failure
2006-01-01,2006,severe_stress,45,standard,severe_stress
2006-01-01,2006,crop_failure,90,standard,crop_failure
2006-01-01,2006,severe_stress,45,standard,severe_stress
2006-01-01,2006,crop_failure,90,standard,crop_failure
2006-01-01,2006,severe_stress,45,standard,severe_stress
2006-01-01,2006,drought,60,standard,drought
2006-01-01,2006,crop_failure,90,standard,crop_failure
2006-01-01,2006,severe_stress,45,standard,severe_stress
2006-01-01,2006,crop_failure,90,standard,crop_failure
2006-02-01,2006,drought,60,standard,drought
2006-02-01,2006,crop_failure,90,standard,crop_failure
2006-02-01,2006,severe_stress,45,standard,severe_stress
2006-02-01,2006,crop_failure,90,standard,crop_failure
2006-02-01,2006,severe_stress,45,standard,severe_stress
2006-02-01,2006,crop_failure,90,standard,crop_failure
2006-02-01,2006,severe_stress,45,standard,severe_stress
2006-02-01,2006,drought,60,standard,drought
2006-02-01,2006,crop_failure,90,standard,crop_failure
2006-02-01,2006,severe_stress,45,standard,severe_stress
2006-04-01,2006,flood,75,standard,flood
2006-04-01,2006,flood,75,standard,flood
2006-08-01,2006,drought,60,standard,drought
2006-09-01,2006,drought,60,standard,drought
2006-10-01,2006,drought,60,standard,drought
2006-10-01,2006,drought,60,standard,drought
2006-10-01,2006,crop_failure,90,standard,crop_failure
2006-10-01,2006,severe_stress,45,standard,severe_stress
2006-11-01,2006,drought,60,standard,drought
2006-11-01,2006,crop_failure,90,standard,crop_failure
2006-11-01,2006,severe_stress,45,standard,severe_stress
2006-11-01,2006,crop_failure,90,standard,crop_failure
2006-11-01,2006,severe_stress,45,standard,severe_stress
2006-11-01,2006,flood,75,standard,flood
2006-11-01,2006,crop_failure,90,standard,crop_failure
2006-11-01,2006,severe_stress,45,standard,severe_stress
2006-12-01,2006,flood,75,standard,flood
2006-12-01,2006,flood,75,standard,flood
2006-12-01,2006,flood,75,standard,flood
2006-12-01,2006,crop_failure,90,standard,crop_failure
2006-12-01,2006,severe_stress,45,standard,severe_stress
2006-12-01,2006,flood,75,standard,flood
2006-12-01,2006,crop_failure,90,standard,crop_failure
2006-12-01,2006,severe_stress,45,standard,severe_stress
2007-04-01,2007,flood,75,standard,flood
2007-04-01,2007,flood,75,standard,flood
2007-05-01,2007,flood,75,standard,flood
2007-05-01,2007,flood,75,standard,flood
2007-09-01,2007,drought,60,standard,drought
2007-10-01,2007,drought,60,standard,drought
2007-11-01,2007,drought,60,standard,drought
2007-12-01,2007,flood,75,standard,flood
2008-03-01,2008,flood,75,standard,flood
2008-04-01,2008,flood,75,standard,flood
2009-01-01,2009,flood,75,standard,flood
2009-03-01,2009,flood,75,standard,flood
2009-07-01,2009,crop_failure,90,standard,crop_failure
2009-07-01,2009,severe_stress,45,standard,severe_stress
2009-08-01,2009,crop_failure,90,standard,crop_failure
2009-08-01,2009,severe_stress,45,standard,severe_stress
2009-08-01,2009,crop_failure,90,standard,crop_failure
2009-08-01,2009,severe_stress,45,standard,severe_stress
2009-08-01,2009,crop_failure,90,standard,crop_failure
2009-08-01,2009,severe_stress,45,standard,severe_stress
2009-09-01,2009,crop_failure,90,standard,crop_failure
2009-09-01,2009,severe_stress,45,standard,severe_stress
2009-09-01,2009,drought,60,standard,drought
2009-10-01,2009,crop_failure,90,standard,crop_failure
2009-10-01,2009,drought,60,standard,drought
2009-10-01,2009,drought,60,standard,drought
2009-10-01,2009,crop_failure,90,standard,crop_failure
2009-10-01,2009,severe_stress,45,standard,severe_stress
2009-11-01,2009,drought,60,standard,drought
2009-11-01,2009,drought,60,standard,drought
2009-12-01,2009,flood,75,standard,flood
2010-02-01,2010,crop_failure,90,standard,crop_failure
2010-02-01,2010,severe_stress,45,standard,severe_stress
2010-03-01,2010,flood,75,standard,flood
2010-04-01,2010,flood,75,standard,flood
2010-04-01,2010,flood,75,standard,flood
2010-05-01,2010,flood,75,standard,flood
2010-09-01,2010,drought,60,standard,drought
2010-10-01,2010,drought,60,standard,drought
2010-10-01,2010,drought,60,standard,drought
2010-10-01,2010,drought,60,standard,drought
2010-11-01,2010,drought,60,standard,drought
2010-11-01,2010,drought,60,standard,drought
2010-11-01,2010,drought,60,standard,drought
2010-12-01,2010,drought,60,standard,drought
2011-04-01,2011,flood,75,standard,flood
2011-05-01,2011,crop_failure,90,standard,crop_failure
2011-10-01,2011,drought,60,standard,drought
2011-10-01,2011,drought,60,standard,drought
2011-10-01,2011,drought,60,standard,drought
2011-11-01,2011,drought,60,standard,drought
2011-11-01,2011,drought,60,standard,drought
2011-11-01,2011,flood,75,standard,flood
2011-12-01,2011,flood,75,standard,flood
2011-12-01,2011,flood,75,standard,flood
2011-12-01,2011,flood,75,standard,flood
2012-04-01,2012,flood,75,standard,flood
2012-04-01,2012,crop_failure,90,standard,crop_failure
2012-09-01,2012,drought,60,standard,drought
2012-09-01,2012,crop_failure,90,standard,crop_failure
2012-09-01,2012,severe_stress,45,standard,severe_stress
2012-10-01,2012,drought,60,standard,drought
2012-10-01,2012,drought,60,standard,drought
2012-10-01,2012,drought,60,standard,drought
2012-11-01,2012,drought,60,standard,drought
2012-12-01,2012,flood,75,standard,flood
2013-04-01,2013,flood,75,standard,flood
2013-04-01,2013,flood,75,standard,flood
2013-05-01,2013,flood,75,standard,flood
2013-06-01,2013,crop_failure,90,standard,crop_failure
2013-06-01,2013,severe_stress,45,standard,severe_stress
2013-07-01,2013,crop_failure,90,standard,crop_failure
2013-09-01,2013,drought,60,standard,drought
2013-10-01,2013,drought,60,standard,drought
2013-11-01,2013,drought,60,standard,drought
2013-12-01,2013,flood,75,standard,flood
2014-01-01,2014,flood,75,standard,flood
2014-02-01,2014,crop_failure,90,standard,crop_failure
2014-03-01,2014,flood,75,standard,flood
2014-03-01,2014,flood,75,standard,flood
2014-04-01,2014,flood,75,standard,flood
2014-04-01,2014,flood,75,standard,flood
2014-05-01,2014,flood,75,standard,flood
2014-05-01,2014,flood,75,standard,flood
2014-05-01,2014,crop_failure,90,standard,crop_failure
2014-05-01,2014,severe_stress,45,standard,severe_stress
2014-06-01,2014,flood,75,standard,flood
2014-06-01,2014,crop_failure,90,standard,crop_failure
